time,[depth_sim_node_depth]depth_m,[data_collector]rpm_NAN,[data_collector]roll_rad,[data_collector]pitch_rad,[data_collector]yaw_rad,[data_collector]v_eb_b_x_m/s,[data_collector]v_eb_b_y_m/s,[data_collector]v_eb_b_z_m/s,[data_collector]lat_rad,[data_collector]lon_rad,[data_collector]alt_m,[data_collector]lat0_rad,[data_collector]lon0_rad,[data_collector]alt0_m,[data_collector]r_b_n_m,[data_collector]r_b_e_m,[data_collector]r_b_d_m,[data_collector]w_ib_b_x_rad/s,[data_collector]w_ib_b_y_rad/s,[data_collector]w_ib_b_z_rad/s,[data_collector]f_ib_b_x_m/s^2,[data_collector]f_ib_b_y_m/s^2,[data_collector]f_ib_b_z_m/s^2,[data_collector]fault_gen/depth_sensor_zero_NAN
1679449597.259193,-0.004647627,218.88000000000002,1.3169284225008652e-13,-9.680606130095127e-08,0.785398163396351,0.00015140189350017224,1.1802756188581769e-11,-1.37184960013793e-08,0.6467836953258399,-1.4069862681864032,6.532664776074954e-10,0.6467836953250381,-1.4069862681874037,0.0,5.099009474511337e-06,5.099009912217165e-06,-6.533556080181619e-10,4.1148654295946267e-05,-4.318106054769203e-05,-4.39440084040768e-05,0.0025597803870780087,-1.2876717273397482e-08,-9.799105561660637,False
1679449597.309193,0.017952124,218.88000000000002,1.3169284225008652e-13,-9.680606130095127e-08,0.785398163396351,0.00015140189350017224,1.1802756188581769e-11,-1.37184960013793e-08,0.6467836953258399,-1.4069862681864032,6.532664776074954e-10,0.6467836953250381,-1.4069862681874037,0.0,5.099009474511337e-06,5.099009912217165e-06,-6.533556080181619e-10,4.1148654295946267e-05,-4.318106054769203e-05,-4.39440084040768e-05,0.0025597803870780087,-1.2876717273397482e-08,-9.799105561660637,False
1679449597.3591928,-0.028863788,218.88000000000002,2.083770259209225e-13,-1.2056658152246322e-07,0.7853981633957119,0.000177009179468397,1.8029393957223806e-11,-1.6034505350144844e-08,0.6467836953260367,-1.4069862681861576,8.133981171922766e-10,0.6467836953250381,-1.4069862681874037,0.0,6.350653258380314e-06,6.35065395105753e-06,-8.13529305904825e-10,4.1148655890793513e-05,-4.352473338027362e-05,-4.394403359733296e-05,0.0025595471535486223,-1.4935039263848914e-08,-9.799105559246492,False
1679449597.4091928,-0.008440253,218.88000000000002,3.2123815359543564e-13,-1.477633847570826e-07,0.785398163394771,0.0002026164606779246,2.6540431529660454e-11,-1.834822095086663e-08,0.646783695326262,-1.4069862681858765,9.96580933760568e-10,0.6467836953250381,-1.4069862681874037,0.0,7.783367803983022e-06,7.783368871993646e-06,-9.967672276732488e-10,4.1148658304775424e-05,-4.386836570011952e-05,-4.394406703050685e-05,0.0025592801735419887,-1.6958094246995243e-08,-9.799105556779208,False
1679449597.4591928,0.062910923,218.88000000000002,3.2123815359543564e-13,-1.477633847570826e-07,0.785398163394771,0.0002026164606779246,2.6540431529660454e-11,-1.834822095086663e-08,0.646783695326262,-1.4069862681858765,9.96580933760568e-10,0.6467836953250381,-1.4069862681874037,0.0,7.783367803983022e-06,7.783368871993646e-06,-9.967672276732488e-10,4.1148658304775424e-05,-4.386836570011952e-05,-4.394406703050685e-05,0.0025592801735419887,-1.6958094246995243e-08,-9.799105556779208,False
1679449597.5091927,-0.015163767,248.32,4.814799857524161e-13,-1.7938310686667689e-07,0.7853981633934347,0.00023557551221406304,3.7692065850098095e-11,-2.132608326473232e-08,0.646783695326524,-1.4069862681855496,1.209419183735061e-09,0.6467836953250381,-1.4069862681874037,0.0,9.449137959167176e-06,9.449139560215188e-06,-1.2096799659700633e-09,4.114866164231444e-05,-4.431066275985741e-05,-4.394411062168443e-05,0.0032941473614787986,-1.959207618565902e-08,-9.799105620287563,False
1679449597.5591927,0.040495506,248.32,7.057508246712138e-13,-2.154251730623935e-07,0.7853981633915641,0.00026853455565668523,5.276678939250815e-11,-2.430008806498378e-08,0.6467836953268227,-1.406986268185177,1.4518415733536371e-09,0.6467836953250381,-1.4069862681874037,0.0,1.1347963638965627e-05,1.1347965986233491e-05,-1.4521991409909495e-09,4.114866645036414e-05,-4.4752902340688464e-05,-4.3944168302709685e-05,0.0032937933723899845,-2.2098442701583704e-08,-9.79910561696634,False
1679449597.6091926,0.031700568,248.32,7.057508246712138e-13,-2.154251730623935e-07,0.7853981633915641,0.00026853455565668523,5.276678939250815e-11,-2.430008806498378e-08,0.6467836953268227,-1.406986268185177,1.4518415733536371e-09,0.6467836953250381,-1.4069862681874037,0.0,1.1347963638965627e-05,1.1347965986233491e-05,-1.4521991409909495e-09,4.114866645036414e-05,-4.4752902340688464e-05,-4.3944168302709685e-05,0.0032937933723899845,-2.2098442701583704e-08,-9.79910561696634,False
1679449597.6591926,0.056758642,277.76,1.0132321986369164e-12,-2.5700042902697483e-07,0.7853981633889986,0.00030977189078884056,7.2365479807861e-11,-2.8020493947383734e-08,0.6467836953271672,-1.4069862681847471,1.731250397739132e-09,0.6467836953250381,-1.4069862681874037,0.0,1.353838117329761e-05,1.3538384543942128e-05,-1.7317367538329493e-09,4.1148672930654125e-05,-4.5306227788887866e-05,-4.3944242941654666e-05,0.004121215141367274,-2.5273048679659614e-08,-9.79910568789261,False
1679449597.7091925,0.001484180,277.76,1.431411222578855e-12,-3.041080657743949e-07,0.7853981633855086,0.00035100921264798494,9.844567224999236e-11,-3.173462653143507e-08,0.6467836953275575,-1.4069862681842602,2.047529215726193e-09,0.6467836953250381,-1.4069862681874037,0.0,1.6020390422483557e-05,1.6020395185318178e-05,-2.048180923964859e-09,4.1148681916565275e-05,-4.5859472338447986e-05,-4.3944340785957076e-05,0.004120752201712204,-2.8252999753057148e-08,-9.799105683505804,False
